id	RsmmID	Titel	Serie	Länge	Sendezeit	Titel_Sprache	Beschreibung_Sprache	Block	MO	DI	MI	DO	FR	SA	SO	Bild
1	47454	GemeindeSlo Mai2026	SON	01:22:00	22.06.2026 00:00:00	My Sheep Know My Voice	Meeting of all God seekers in the Gathering Point in Slovenia, Together with the Core Community of the Lord for the Building of the Kingdom of Peace of the Christ of God, May 2026		False	False	False	False	False	False	False	EN_GemeindeSlowenien.jpg
4	40156	SoWieIhrGebt Neu	MED	00:32:00	22.06.2026 01:35:00	Meditation Prayer. Just As You Give, So Will It Be Given To You	Meditation Prayer. Just As You Give, So Will It Be Given To You		False	False	False	False	False	False	False	CH60MitChristusBeten.jpg
7	35499	Klassik Seele 62f_20	KONZ1	00:19:30	22.06.2026 02:15:00	Classics for the Soul. Santec Music Orchestra	Serenade Espagnole für Violoncello und Orchester in A-Dur von A. Glasunow, Arie der Norma vom V. Bellini, Andantino für Oboe und Streichorchester von C.D. von Dittersdorf (Juli 2017)		False	False	False	False	False	False	False	KlassikSeele.jpg
10	33892	Bergpredigt 03	LES	00:27:00	22.06.2026 02:40:00	The Sermon on the Mount of Jesus of Nazareth. Part 3	The Sermon on the Mount of Jesus of Nazareth. Part 3		False	False	False	False	False	False	False	Berg_EN-00.jpg
15	09337	InnererArzt 1	MED	00:39:00	22.06.2026 03:16:30	Is the Healing Force in Your Soul(1)	Meditation - The Inner Physician and Healer - Is the Healing Force in Your Soul(1)		False	False	False	False	False	False	False	Kristall.jpg
20	24601	DasIstMeinWort 27	LES	00:26:00	22.06.2026 04:12:00	This Is My Word – Reading: Chapter 71 -72 "The cleansing of the temple" and "Jesus' words of farewell" 	This Is My Word – Reading: Chapter 71 -72 "The cleansing of the temple" and "Jesus' words of farewell" 		False	False	False	False	False	False	False	DIMW_EN-00B.jpg
24	40720	Zellenstaat NEU	MED	00:26:00	22.06.2026 04:45:00	Meditation. The Cell State	Meditation. The Cell State		False	False	False	False	False	False	False	Zellenstaat.jpg
29	41584	FGE Rückmeldungen 03	FGE	00:16:00	22.06.2026 05:21:00	We Read... Are You Listening? Empathize, Experience... Young People on the Path to Christ (03)	We Read... Are You Listening? Empathize, Experience... Young People on the Path to Christ (03)		False	False	False	False	False	False	False	EN_FGERückmeldungen.jpg
31	43006	FGE Rückm GeschHeiltum	FGE	00:11:30	22.06.2026 05:39:00	The Gift from the Sanctum of God - Feedback	The Gift from the Sanctum of God - Feedback		False	False	False	False	False	False	False	EN_RueckmGeschHeiligum.jpg
42	20913	Medikurs1 07	MED	00:21:00	22.06.2026 06:00:00	The Light of God Radiates Throughout Me	Original Christian Meditation I (7): The Light of God Radiates Throughout Me		False	False	False	False	False	False	False	Medikurs.jpg
